institute code,institute_name,place,district_code,co_education,college_type,branch_code,branch_name,OC_BOYS,OC_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,SC_I_BOYS,SC_I_GIRLS,SC_II_BOYS,SC_II_GIRLS,SC_III_BOYS,SC_III_GIRLS,ST_BOYS,ST_GIRLS,EWS_BOYS,EWS_GIRLS,affiliated_to
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,60983,60983,125284,125284,82936,85314,63369,63369,76204,76204,123739,123739,140194,140194,138932,139885,117183,117183,142415,151050,80551,80551,JNTUH
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),58344,58344,96585,108521,78135,78135,68844,68844,73917,79683,113062,113062,145344,145344,141264,142022,112023,112023,145723,145830,80123,80123,JNTUH
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,67119,67119,130934,133469,94445,94445,67119,84010,84196,84196,132610,132610,67119,80228,143502,143502,136125,137566,143374,143374,78342,95506,JNTUH
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,72026,74404,118124,118124,113364,113364,72026,74404,103756,103756,72026,74404,72026,74404,147879,148196,139456,139456,145588,146891,91182,126508,JNTUH
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,87554,87554,109866,109866,130347,130347,87554,122529,109612,128876,134714,134714,87554,87554,141367,141367,87554,140583,150940,150940,120509,131652,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,CIV,CIVIL ENGINEERING,72567,105970,129895,129895,120828,124334,72567,105970,120846,120846,72567,111120,72567,105970,146592,149114,145427,145427,146335,146335,72567,105970,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),64601,64601,131304,131304,92461,99483,64601,64601,88570,93108,132398,132398,64601,64601,110808,110808,80792,139671,145012,150134,97865,103723,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),62285,62285,127739,127739,96478,96478,87519,87519,83433,90505,62285,120071,62285,62285,139565,145996,136240,136469,148888,148914,100338,100338,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,66368,66368,115709,115709,89723,89723,66368,82006,85216,85216,121930,127434,141338,141338,141309,141309,112620,128907,143172,151563,95062,95062,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),72283,75384,123588,133071,95245,95245,134934,134934,87902,88909,132266,133860,137211,137211,143840,144927,136798,137363,148373,149252,99787,104722,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,70104,74438,129215,129215,96256,96256,70104,74438,85604,92608,70104,74438,70104,74438,105662,105662,70104,104937,147549,147715,90829,90829,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,75340,75340,116561,116561,113779,113779,75340,75340,90737,103045,75340,87686,147507,147507,136523,146117,131542,131542,149919,149919,120702,120702,JNTUH
ELEN,ELLENKI COLLGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),PATANCHERU,SRD,COED,PVT,MEC,MECHANICAL ENGINEERING,70334,70334,133095,133095,125986,149871,70334,70334,117251,133800,122473,122473,70334,70334,150602,150602,151556,151556,150716,150716,70334,70334,JNTUH
ESUT,EARTH SCIENCES UNIV OF TELANGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,UNIV,CSE,COMPUTER SCIENCE AND ENGINEERING,45412,45412,74466,124932,60393,61466,45412,45412,51734,62691,81757,81757,45412,45412,87596,87596,71054,71054,66705,68011,86627,122606,ESUNIVTG
ESUT,KEAORTTHHA GSCUIDENEMCE)S UNIV OF TELANGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,UNIV,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,71570,71570,111107,111107,120099,122291,71570,107681,142835,142835,143936,143936,71570,143857,141646,142783,139319,142542,145010,145487,128530,128530,ESUNIVTG
ESUT,KEAORTTHHA GSCUIDENEMCE)S UNIV OF TELANGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,UNIV,MIN,MINING ENGINEERING,51916,51916,51916,77463,75781,75781,51916,51916,59738,59738,51916,85295,51916,51916,130867,138132,64111,115200,69791,69791,100425,100425,ESUNIVTG
ESUTSF,KEAORTTHHA GSCUIDENEMCE)S UNIV OF TELANGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,SF,CSE,COMPUTER SCIENCE AND ENGINEERING,60997,65114,101864,126390,100718,100718,60997,97425,90485,113580,87263,87263,60997,65114,135890,135890,135674,135674,122256,142021,60997,65114,ESUNIVTG
ESUTSF,KEAORTTHHA GSCUIDENEMCE)S- SUENLFIV F OINFA TNECLAENGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,SF,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,ESUNIVTG
ESUTSF,KEAORTTHHA GSCUIDENEMCE)S- SUENLFIV F OINFA TNECLAENGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,SF,INF,INFORMATION TECHNOLOGY,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,ESUNIVTG
ESUTSF,KEAORTTHHA GSCUIDENEMCE)S- SUENLFIV F OINFA TNECLAENGANA (FORMERLY K U COLLEGE OF ENGG,KOTHAGUDEM,KGM,COED,SF,MIN,MINING ENGINEERING,96790,96790,96790,96790,132567,132567,96790,96790,124989,124989,96790,96790,96790,96790,141588,151222,143457,143457,151416,151416,96790,96790,ESUNIVTG
GATE,KGOATTHE AINGSUTDITEUMTE)- OSEFL TFE FCIHNNAONCLOEGYAND SCIENCES,KODAD,SRP,COED,PVT,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,119314,119314,139367,149643,140880,150555,119314,119314,143991,150898,119314,119314,119314,119314,151168,151168,119314,119314,149873,149873,119314,119314,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,BIO,BIO-TECHNOLOGY,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,CIV,CIVIL ENGINEERING,146661,146661,146661,146661,146661,146661,146661,146661,146661,150070,146661,146661,146661,146661,146661,146661,146661,146661,150288,150288,146661,146661,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,82036,88086,123517,137829,130298,130298,117849,117849,117550,117550,128384,128384,124012,124012,143786,143786,142254,142254,151365,151365,129473,129473,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),63886,63886,132238,149445,63886,149681,63886,150384,63886,151620,122759,122759,148874,148874,143824,147140,148512,148512,148837,148837,125058,132671,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,106446,106446,126256,145284,150771,150771,106446,106446,120517,131796,135797,135797,106446,106446,145424,148275,106446,145061,150884,150884,106446,106446,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,114989,114989,114989,114989,114989,150661,114989,114989,114989,114989,114989,114989,114989,114989,114989,114989,114989,114989,114989,146246,114989,114989,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,MIN,MINING ENGINEERING,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,139898,149305,JNTUH
GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,PHE,PHARMACEUTICAL ENGINEERING,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,93205,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,CIV,CIVIL ENGINEERING,30214,43887,88285,96207,48965,55208,30214,43887,62779,62779,30214,70908,30214,43887,116297,138094,95619,95619,68935,104391,50820,51764,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),15629,15629,36512,39381,20443,20914,15629,85001,20180,22001,36948,45335,15629,94443,62516,62516,45046,45046,64671,77971,16617,16617,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),13299,13416,33198,33707,19371,19371,55458,55458,19314,19406,36127,48335,97189,97189,58289,58289,42551,43257,63104,70840,15132,15132,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,11958,11958,31214,31214,17542,17542,34818,77534,17104,17104,29460,38271,73577,148783,48998,49770,33297,34749,56164,63331,14009,14009,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),12711,12711,29742,29742,18242,18242,40716,40716,17501,17501,31947,31947,89522,89522,51670,51670,36411,37849,58240,68255,14210,14210,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,16983,16983,43457,43457,23993,24966,33958,33958,24324,24324,50499,70436,121255,121255,72850,97265,47626,47626,67637,76412,20049,20049,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,25453,25770,73359,106039,47508,47508,25453,25770,29853,44425,81971,81971,25453,25770,94896,110268,61919,85385,82942,118414,30965,39750,JNTUH
GCTC,GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),KEESARA,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,38688,59635,97001,133728,54838,80209,38688,59635,52181,80257,124622,124622,38688,59635,78202,148868,70241,70241,84108,147499,54814,59635,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,CIV,CIVIL ENGINEERING,90797,90797,100412,100412,127325,127325,90797,109080,92124,92124,90797,106575,90797,151129,146697,149640,90797,90797,147101,150160,96079,108101,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),52241,53399,119771,131275,85941,85941,52241,53399,72355,72355,70925,70925,52241,53399,138564,138564,134021,135141,136415,140543,86038,86038,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,54167,54167,127614,133543,84403,84403,77662,77662,76732,76732,91902,118913,140100,140100,139863,140988,128353,128718,136653,138214,86612,86612,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),41977,41977,112062,130232,76394,76394,41977,41977,61117,63759,78987,78987,41977,41977,139534,139534,119686,119686,129086,144922,78374,78374,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,31294,31294,72475,72475,54634,66711,31294,31294,50234,50234,31294,122566,31294,146547,31294,145831,31294,142107,138432,138432,51362,62934,JNTUH
GLOB,GLOBAL INST OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CHILKUR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,77817,127794,107269,142425,133797,133797,77817,144168,124121,127794,145987,145987,77817,127794,150022,150022,136938,136938,138601,138601,77817,130499,JNTUH
GLWC,GOKARAJU LAILAVATHI ENGINEERING COLLEGE,BACHUPALLY,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,17939,17939,41095,41095,27735,27735,30051,65670,25769,25769,52394,52394,124272,124272,89365,89365,41205,41205,126453,126453,21844,21844,OU
GLWC,GOKARAJU LAILAVATHI ENGINEERING COLLEGE,BACHUPALLY,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),18608,18608,36071,37733,23991,23991,18608,48604,24393,24393,28842,39007,18608,144153,93844,93844,48194,48868,124079,124079,22025,22025,OU
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CIV,CIVIL ENGINEERING,57345,57345,96859,107435,75948,75948,57345,57345,72607,78651,103828,110966,132295,132295,135508,135508,102050,102050,111952,136188,66750,98251,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),16592,16592,37609,37609,22852,23299,52281,52281,20817,22363,35481,35481,16592,16592,52783,65383,40336,40336,52832,62615,18827,18827,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,14512,14512,35191,35191,20155,20155,39994,39994,20254,20254,31177,31177,89203,89203,52519,52519,40162,40162,50217,56003,17166,17166,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),15699,15895,39230,39230,22373,22476,15699,76341,20702,21395,36906,42213,15699,129375,57977,57977,41444,54652,55258,62411,18296,18296,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,24486,24486,57004,61477,34448,34448,34722,134053,34681,34681,59947,59947,103898,103898,86329,86329,44866,52962,70889,77712,30068,30068,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,47227,47227,99844,99844,56504,58526,61052,61052,60972,63942,94631,94631,144503,144503,108712,136299,97623,97623,52908,96618,57912,57912,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,INF,INFORMATION TECHNOLOGY,22918,22918,53940,53940,27968,28358,22918,22918,29988,31238,39704,59166,22918,142478,84002,84002,56619,56619,67958,89857,26384,26384,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,59337,82339,106812,115726,80724,128663,59337,108393,79633,107112,108411,108411,59337,82339,128141,136614,104779,138633,123525,147314,96906,122199,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),NA,5541,NA,15412,NA,8066,NA,15846,NA,7321,NA,14832,NA,46051,NA,28838,NA,20515,NA,29417,NA,5806,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,4109,NA,13905,NA,6723,NA,13101,NA,6075,NA,11585,NA,46566,NA,25928,NA,16992,NA,25329,NA,5078,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),NA,4839,NA,14588,NA,7050,NA,4839,NA,6536,NA,10993,NA,4839,NA,23618,NA,14504,NA,25649,NA,5533,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,8343,NA,20868,NA,11495,NA,31008,NA,11515,NA,22101,NA,147905,NA,43121,NA,34040,NA,39483,NA,10445,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,19016,NA,58169,NA,32690,NA,31130,NA,30970,NA,53975,NA,74401,NA,71408,NA,47443,NA,68027,NA,29321,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,ETM,ELECTRONICS AND TELEMATICS,NA,18197,NA,39212,NA,30392,NA,18197,NA,25138,NA,32820,NA,18197,NA,65754,NA,75412,NA,109404,NA,24025,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,SHAIKPET,HYD,GIRLS,PVT,INF,INFORMATION TECHNOLOGY,NA,6546,NA,20492,NA,8990,NA,35307,NA,8332,NA,15798,NA,139165,NA,38963,NA,28273,NA,43047,NA,7453,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,CIV,CIVIL ENGINEERING,22955,24705,37860,59814,39056,39056,22955,24705,24595,39792,22955,24705,22955,24705,45363,45363,42043,42043,55468,55468,26007,26007,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,4503,5438,14330,15168,6408,8595,18792,18792,6065,7045,11751,11751,39917,39917,20898,23266,13264,16714,23320,29186,4741,5602,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),4018,4694,11872,11949,5730,6633,15484,15484,5487,6662,10964,13079,20243,20243,19897,22412,13218,15825,21686,28310,4417,5328,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,2878,3348,9258,9903,4074,4932,13740,13740,4122,4735,10136,12668,26116,32695,17432,18615,12470,12734,17471,20703,3451,4126,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3343,4004,9805,10721,4570,5630,14272,14272,4612,4986,9911,13034,26968,26968,18552,20014,11795,13989,18062,24385,3909,4546,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,4834,5967,12654,16340,7289,7289,17862,17862,7322,7701,18232,18232,4834,5967,27037,30570,13541,19376,25984,27895,5723,6652,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,10600,11346,28839,28839,16885,20036,10600,11346,15799,17781,10600,11346,10600,11346,36646,36646,27964,27964,33362,43832,13338,14979,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH (AUTONOMOUS),BACHUPALLY,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,17352,27492,42745,64360,17352,44829,17352,64889,27244,41572,41821,41821,17352,27492,86042,86042,17352,63046,51975,51975,28537,38645,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CIV,CIVIL ENGINEERING,55147,61262,69084,122909,75118,100804,55147,61262,76111,81731,113877,135114,145564,145564,132823,132823,116891,116891,89686,137959,83601,97135,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),23870,23870,52458,52458,31627,31627,107502,107502,30514,30514,48981,48981,23870,23870,70349,71029,52025,52025,69368,81198,27205,27770,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),22146,22146,51918,51918,30776,30941,27782,27782,27780,28010,44236,47702,114506,114506,67144,67144,39591,52306,61983,70867,25743,26629,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,19479,19479,45811,45811,27146,27146,83750,104022,24794,25660,39320,46533,89159,89159,61606,61606,46648,47330,56333,63340,24957,24957,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),18618,19617,40429,40429,26808,28475,47444,47444,25212,25212,31142,44210,18618,19617,55279,55279,46162,46162,58799,66972,21129,24000,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),32902,32902,78145,78145,40264,43991,41264,41264,39422,41085,72604,72604,32902,149156,114458,114458,71375,95404,97044,97044,35466,35466,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,35531,35531,81543,89883,46966,49404,46215,46215,46164,48481,78387,120573,144359,144359,115901,122666,82112,83297,91273,119381,43248,43248,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,38552,57408,122738,122738,74913,74913,38552,58366,67276,69604,124211,124211,38552,136666,136813,136813,106241,106241,99913,142789,72167,72167,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,INF,INFORMATION TECHNOLOGY,29671,29671,61325,70224,40591,40591,29671,29671,37615,38007,63098,63098,29671,29671,77998,110053,66539,71909,73824,106984,33340,33340,JNTUH
GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,62296,83099,111761,120197,80287,111336,66321,83099,76017,113069,120575,123896,140565,140565,140547,151643,96665,144289,123229,143947,75969,121524,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),MEDCHAL,MDL,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),30542,30542,61316,67392,41847,41847,90261,90261,38300,38581,54481,54481,99772,99772,98037,103137,66481,73231,113918,123372,33024,33024,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),MEDCHAL,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,25627,25627,59403,59403,34124,34124,126244,126244,35013,35013,44393,47393,137519,137519,89501,89501,61737,67873,102764,109059,32011,32011,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),MEDCHAL,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),28360,28360,56484,56484,35202,35202,28360,28360,36899,36899,40726,43701,28360,28360,85871,99798,62997,62997,112308,112308,32140,32140,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),MEDCHAL,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,30984,30984,67783,78894,38765,38917,30984,30984,34368,34368,94885,94885,30984,126544,112007,123963,74575,83168,91345,131535,34281,37488,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),MEDCHAL,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,47001,47001,83246,83246,50767,85691,47001,81808,67803,68336,96304,96304,47001,47001,134849,134849,65149,65149,118372,145803,56311,73154,JNTUH
